trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","17:42:00","17:42:00","3400004.1","6","","0","0","67705.00000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","18:11:00","18:11:00","3400003","7","","0","0","99722.75000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","18:23:00","18:23:00","3400002","8","","0","0","119191.53000000",1
"9d4cc9d2-b6e2-4357-a532-497477d9dc61","18:47:00","18:47:00","3400001","9","","0","0","137810.88000000",1
"ACE 06","16:35:00","16:35:00","3400006.3","0","","0","0","0.00000000",1
"ACE 06","16:40:00","16:40:00","3400006.2","1","","0","0","4113.75000000",1
"ACE 06","16:49:00","16:49:00","3400006.1","2","","0","0","10848.77000000",1
"ACE 06","17:05:00","17:05:00","3400005","3","","0","0","31001.17000000",1
"ACE 06","17:28:00","17:28:00","3400004.3","4","","0","0","52130.16000000",1
"ACE 06","17:37:00","17:37:00","3400004.2","5","","0","0","63077.06000000",1
"ACE 06","17:42:00","17:42:00","3400004.1","6","","0","0","67705.00000000",1
"ACE 06","18:11:00","18:11:00","3400003","7","","0","0","99722.75000000",1
"ACE 06","18:23:00","18:23:00","3400002","8","","0","0","119191.53000000",1
"ACE 06","18:47:00","18:47:00","3400001","9","","0","0","137810.88000000",1
"ACE 08","17:35:00","17:35:00","3400006.3","0","","0","0","0.00000000",1
"ACE 08","17:40:00","17:40:00","3400006.2","1","","0","0","4113.75000000",1
"ACE 08","17:49:00","17:49:00","3400006.1","2","","0","0","10848.77000000",1
"ACE 08","18:05:00","18:05:00","3400005","3","","0","0","31001.17000000",1
"ACE 08","18:28:00","18:28:00","3400004.3","4","","0","0","52130.16000000",1
"ACE 08","18:37:00","18:37:00","3400004.2","5","","0","0","63077.06000000",1
"ACE 08","18:42:00","18:42:00","3400004.1","6","","0","0","67705.00000000",1
"ACE 08","19:11:00","19:11:00","3400003","7","","0","0","99722.75000000",1
"ACE 08","19:23:00","19:23:00","3400002","8","","0","0","119191.53000000",1
"ACE 08","19:47:00","19:47:00","3400001","9","","0","0","137810.88000000",1
